priority,source_name,primary_url,verified_data_or_code_url,data_type,main_use,why_it_matters,status,next_action,notes
1,OrganoID,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1010584,https://github.com/jono-m/OrganoID; https://osf.io/xmes4/,brightfield/phase-contrast organoid images + segmentation/tracking code,segmentation and longitudinal morphology baseline,"The paper says the GitHub repository contains source code plus the full training/testing dataset; OSF hosts the dataset separately.",code_downloaded_dataset_external,Inspect OSF dataset size and file organization before dataset download,"Code/model downloaded to ../../external_sources/OrganoID; OSF dataset not yet bulk-downloaded."
1,OrgaExtractor,https://www.nature.com/articles/s41598-023-46485-2,https://github.com/tpark16/orgaextractor,colon organoid images + binary masks + segmentation code,segmentation baseline and feature extraction,"Scientific Reports paper and GitHub both state dataset/code availability; repo has MIT license and Google Drive dataset link.",code_downloaded_dataset_external,Download small Google Drive dataset if access is acceptable,"Code downloaded to ../../external_sources/orgaextractor; dataset still external."
1,MultiOrg: Multi-rater Organoid-detection Dataset,https://arxiv.org/abs/2410.14612,,2D microscopy images + object detection annotations,detection benchmarking and annotation uncertainty,"The abstract reports >400 high-resolution microscopy images, >60000 organoid annotations, and three test label sets.",partially_verified,Find official repository/data landing page and license before download,"Very valuable for object detection and rater disagreement, but download link/license still needs confirmation."
1,D-CryptO,https://arxiv.org/abs/2210.06538,,colon organoid brightfield morphology labels,morphological subtype/task design,"Directly targets crypt formation and opacity classification from brightfield colorectal organoid images.",partially_verified,Search deeper for code/data release; if unavailable use as label taxonomy/method reference,"Important for subtype definitions even if raw data is not publicly available."
2,NOA: Napari Organoid Analyzer,https://arxiv.org/abs/2511.01549,https://github.com/Meleray/napari-organoid-analyzer,open-source GUI/tool; case-study datasets described,annotation workflow and feature-based ML reference,"NOA integrates detection, SAM segmentation, feature extraction, annotation, and ML prediction; paper provides useful class definitions such as spheroid I, spheroid II, budding, enteroid.",code_downloaded_method_reference,Use as workflow reference; do not mix into training data directly,"Downloaded to ../../external_sources/napari-organoid-analyzer."
2,BOrg brain organoid mitosis dataset,https://arxiv.org/abs/2406.19556,https://github.com/awaisrauf/borg,brain organoid confocal images + mitosis annotations,brain organoid auxiliary detection/cell-state task,"Repository says the dataset is released in mmdetection format; labels are mitosis phases, not whole-organoid morphology.",code_and_data_downloaded_secondary,Use only if brain-domain auxiliary training becomes useful,"Downloaded to ../../external_sources/borg; not a whole-organoid subtype dataset."
2,SegmentAnything for organoid microscopy analysis,https://arxiv.org/abs/2309.04190,,organoid segmentation pipeline and morphology measurements,segmentation and feature extraction reference,"Introduces quantitative morphology features including perimeter, area, radius, non-smoothness, and non-circularity.",method_reference,Find code/data if needed,"Good for feature engineering; not currently verified as a reusable dataset."
2,Organoid Tracker,https://arxiv.org/abs/2509.11063,https://github.com/hrlblab/OrganoidTracker,kidney organoid video analysis software,temporal cyst tracking and growth features,"Paper reports open-source software and quantifies cyst formation rate, growth velocity, and morphology changes.",method_reference,Check repository and sample data if project expands to videos,"Useful if adding longitudinal/time-series organoid morphology."
2,Image-based profiling and deep learning reveal morphological heterogeneity of colorectal cancer organoids,https://doi.org/10.1016/j.compbiomed.2024.108322,,CRC organoid morphology profiling paper,subtype definitions and morphology-feature design,"Important for linking organoid morphology heterogeneity to image profiling and deep learning.",literature_reference,Find data/code availability and extract label/feature definitions,"Likely useful for report and label taxonomy; public image data not yet verified."
2,Organoid morphology-guided classification for oral cancer reveals prognosis,https://doi.org/10.1016/j.xcrm.2025.102129,,oral cancer organoid morphology/prognosis paper,subtype definitions and clinical relevance,"Useful for justifying why morphology-guided organoid classification matters biologically and clinically.",literature_reference,Find data/code availability and subtype definitions,"Likely useful as literature evidence; public image data not yet verified."
3,Cell Painting Gallery,https://registry.opendata.aws/cellpainting-gallery/,https://registry.opendata.aws/cellpainting-gallery/,large image-based profiling datasets,representation learning and morphology profiling background,"Not organoid-specific, but valuable for image-based profiling workflow ideas.",low_priority_reference,Do not bulk download unless a small relevant subset is identified,"Huge dataset; avoid bulk download."
